,name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
26457,Northwest Africa 052,17062,Valid,L5,1088.0,Found,1998.0,31.11667,-5.18333,"(31.116670, -5.183330)"
26460,Northwest Africa 055,17065,Valid,L4,42000.0,Found,,32.05,-3.03333,"(32.050000, -3.033330)"
26463,Northwest Africa 058,17068,Valid,L6,1091.0,Found,,27.16667,-9.5,"(27.166670, -9.500000)"
26464,Northwest Africa 059,17069,Valid,H3.9/4,27000.0,Found,,31.83333,-2.93333,"(31.833330, -2.933330)"
26465,Northwest Africa 060,17070,Valid,CK5,604.0,Found,2000.0,,,
26467,Northwest Africa 062,17072,Valid,CO3.4,968.0,Found,2000.0,,,
26469,Northwest Africa 064,17074,Valid,L5,13700.0,Found,2000.0,,,
26470,Northwest Africa 065,17075,Valid,H5,5094.0,Found,2000.0,,,
26471,Northwest Africa 066,17076,Valid,L6,2858.0,Found,2000.0,,,
26472,Northwest Africa 067,17077,Valid,L6,12000.0,Found,2000.0,,,
26473,Northwest Africa 069,17078,Valid,L6,3808.0,Found,2000.0,,,
26474,Northwest Africa 070,17079,Valid,H6,8224.0,Found,2000.0,,,
26475,Northwest Africa 073,17080,Valid,L6,2914.0,Found,2000.0,,,
26476,Northwest Africa 074,17081,Valid,H6,2686.0,Found,2000.0,,,
26477,Northwest Africa 078,17082,Valid,H5,1172.0,Found,2000.0,,,
26478,Northwest Africa 079,17083,Valid,H5,2350.0,Found,2000.0,,,
26482,Northwest Africa 085,17087,Valid,H3.8,1804.0,Found,2000.0,,,
26488,Northwest Africa 096,17093,Valid,H3.8,2510.0,Found,2000.0,,,
26489,Northwest Africa 097,17094,Valid,H5,700.0,Found,2000.0,,,
26490,Northwest Africa 098,17095,Valid,L6,5624.0,Found,2000.0,,,
26491,Northwest Africa 099,17096,Valid,H6,16000.0,Found,2000.0,,,
26492,Northwest Africa 100,17097,Valid,L6,7136.0,Found,2000.0,,,
26494,Northwest Africa 1000,17098,Valid,Eucrite,1200.0,Found,2001.0,,,
26496,Northwest Africa 1007,31995,Valid,L6,4420.0,Found,,0.0,0.0,"(0.000000, 0.000000)"
26497,Northwest Africa 101,17099,Valid,H4,2436.0,Found,2000.0,,,
26498,Northwest Africa 102,17100,Valid,L5,2014.0,Found,2000.0,,,
